div_size,avg_time
3,1.000000
5,0.000000
7,0.000000
9,0.000000
11,1.000000
13,0.000000
15,0.000000
17,1.100000
19,0.200000
21,0.000000
23,0.000000
25,1.100000
27,0.100000
29,0.000000
31,0.300000
33,0.100000
35,0.300000
37,0.000000
39,0.700000
41,0.100000
43,0.800000
45,0.500000
47,0.300000
49,0.400000
51,0.300000
53,0.500000
55,0.200000
57,0.400000
59,0.300000
61,0.400000
63,0.300000
65,0.600000
67,0.000000
69,0.600000
71,0.500000
73,0.200000
75,0.900000
77,0.000000
79,0.200000
81,0.900000
83,0.600000
85,0.000000
87,0.200000
89,0.300000
91,0.600000
93,0.600000
95,0.100000
97,0.900000
99,0.900000
101,0.600000
103,0.700000
105,0.700000
107,0.400000
109,0.400000
111,0.800000
113,0.800000
115,0.800000
117,0.800000
119,0.700000
121,0.700000
123,0.300000
125,0.800000
127,0.800000
129,0.600000
131,0.800000
133,0.700000
135,0.700000
137,0.900000
139,0.800000
141,0.700000
143,0.800000
145,0.800000
147,0.700000
149,0.900000
151,0.200000
153,0.900000
155,0.700000
157,0.900000
159,0.800000
161,0.900000
163,0.800000
165,0.600000
167,1.000000
169,0.700000
171,0.900000
173,0.900000
175,0.800000
177,0.900000
179,1.400000
181,1.000000
183,1.000000
185,0.500000
187,1.500000
189,1.600000
191,0.800000
193,0.800000
195,1.100000
197,0.600000
199,1.400000
201,1.100000
203,0.900000
205,0.900000
207,0.900000
209,1.100000
211,1.400000
213,0.900000
215,1.300000
217,1.100000
219,0.900000
221,0.700000
223,0.800000
225,1.500000
227,0.600000
229,1.700000
231,0.800000
233,1.700000
235,0.800000
237,1.500000
239,0.800000
241,1.600000
243,0.800000
245,1.700000
247,1.500000
249,1.200000
251,1.500000
253,0.800000
255,1.700000
257,1.300000
259,0.700000
261,1.400000
263,1.300000
265,1.400000
267,1.500000
269,0.800000
271,1.700000
273,1.200000
275,1.400000
277,1.100000
279,1.400000
281,1.800000
283,1.500000
285,1.200000
287,1.600000
289,1.400000
291,2.300000
293,1.700000
295,0.500000
297,1.700000
299,1.500000
301,1.600000
303,1.400000
305,1.300000
307,1.500000
309,0.500000
311,1.600000
313,1.700000
315,1.700000
317,1.800000
319,1.800000
321,1.400000
323,1.600000
325,1.700000
327,1.500000
329,1.700000
331,1.500000
333,1.700000
335,1.800000
337,1.700000
339,1.600000
341,0.900000
343,1.900000
345,1.800000
347,1.700000
349,1.700000
351,1.700000
353,1.600000
355,1.700000
357,1.600000
359,2.300000
361,1.800000
363,1.700000
365,1.600000
367,1.600000
369,1.700000
371,2.300000
373,1.000000
375,1.800000
377,1.400000
379,2.400000
381,1.900000
383,1.500000
385,1.800000
387,2.300000
389,1.600000
391,1.700000
393,2.200000
395,1.900000
397,1.700000
399,1.500000
401,2.300000
403,1.700000
405,2.200000
407,1.700000
409,1.500000
411,2.500000
413,1.600000
415,2.400000
417,1.600000
419,1.700000
421,2.000000
423,1.500000
425,2.400000
427,1.600000
429,2.500000
431,1.700000
433,2.500000
435,1.000000
437,1.500000
439,2.100000
441,1.000000
443,2.700000
445,2.100000
447,1.700000
449,2.400000
451,2.400000
453,1.800000
455,2.500000
457,1.600000
459,1.900000
461,2.400000
463,1.700000
465,2.400000
467,2.400000
469,1.700000
471,1.900000
473,2.200000
475,2.500000
477,1.800000
